#{"t_start": 1754743158.517612, "env_id": "None"}
r,l,t
630.567819,3,1178.209617
226.69086,3,1178.614398
626.332745,8,1179.458608
224.010232,5,1179.910388
628.943114,5,1180.68375
634.99261,2,1181.394907
629.749611,5,1182.125785
229.0,1,1182.508845
638.5049,1,1183.160228
207.628278,18,1183.941543
229.0,1,1184.343062
630.430895,11,1185.27481
226.607496,3,1185.680442
621.943319,11,1186.627986
634.426235,3,1187.411541
632.311066,3,1188.141068
222.932271,6,1188.662543
634.604693,1,1189.263417
617.772914,19,1190.393926
630.090448,8,1191.211142
661.675219,2,1191.85915
631.481349,3,1192.626688
628.698759,9,1193.455827
633.289236,5,1194.21064
636.944323,2,1194.90723
229.0,1,1195.273321
227.671516,2,1195.68146
637.519032,1,1196.378269
632.442814,1,1197.00855
634.032947,4,1197.732113
220.94365,8,1198.275073
627.871775,8,1199.109611
628.535142,6,1199.923518
634.520999,3,1200.606938
632.72322,2,1201.289445
225.486247,4,1201.724544
634.213233,1,1202.371942
624.185659,8,1203.261068
375.264039,1,1203.85775
353.25224,9,1204.739872
636.218387,2,1205.407844
633.591808,5,1206.172261
626.827127,13,1207.161507
226.716036,3,1207.561719
223.103924,6,1208.045329
633.443576,4,1208.810855
629.752198,4,1209.576101
227.795833,2,1209.946533
632.077587,3,1210.690259
662.813527,1,1211.32589
632.747107,7,1212.138947
341.569951,2,1212.777864
227.785063,2,1213.158151
627.139785,4,1213.921646
634.378293,1,1214.555375
226.543652,3,1214.975586
375.899646,2,1215.656151
229.0,1,1216.037489
636.849212,2,1216.67392
641.417142,1,1217.274307
628.01222,6,1218.071845
637.60449,2,1218.777147
616.078766,11,1219.660827
634.662214,1,1220.390945
226.710698,3,1220.812742
639.220175,1,1221.508325
632.556796,3,1222.240187
633.441383,2,1222.923111
635.996447,3,1223.62958
227.833728,2,1224.005992
633.786793,2,1224.707279
618.929916,9,1225.557651
221.618584,7,1226.072078
661.096469,4,1226.793017
640.465571,1,1227.486034
