#{"t_start": 1755046992.0441716, "env_id": "None"}
r,l,t
630.474878,8,1854.556917
326.868272,13,1855.633614
625.945689,7,1856.613098
616.792675,14,1857.817002
632.230847,1,1858.488301
358.971694,7,1859.340367
630.553914,4,1860.139879
613.563172,21,1861.539762
224.622159,4,1862.015977
624.658362,2,1862.77624
608.217153,17,1864.03678
622.71405,11,1865.140815
629.345162,6,1866.112028
224.958052,4,1866.638035
617.60037,20,1868.160289
635.27776,3,1868.866243
656.98353,6,1869.691761
369.795822,6,1870.5753
614.547699,16,1871.870079
327.044412,16,1873.085673
608.473478,25,1874.660198
615.41479,15,1875.849843
628.266706,10,1876.850865
659.18531,3,1877.60304
572.696698,48,1880.052193
603.200886,26,1881.66191
229.0,1,1882.047596
625.155468,9,1883.06928
624.067038,13,1884.196631
627.138258,7,1885.175107
623.618669,10,1886.234152
201.85277,22,1887.534092
615.590335,15,1888.778865
638.640487,3,1889.540771
602.220391,26,1891.261385
648.249371,14,1892.405914
591.178776,34,1894.261982
636.304605,2,1895.051023
637.227752,2,1895.76423
222.280662,6,1896.405384
618.352919,13,1897.522825
633.769791,6,1898.389101
637.82088,1,1899.068808
607.293089,22,1900.629452
215.989039,11,1901.369938
339.413836,12,1902.399236
623.690131,5,1903.236818
578.958689,3,1904.0841
649.25439,11,1905.167836
662.534414,3,1905.954301
227.833551,2,1906.37944
367.871631,2,1907.133201
619.524058,18,1908.574817
623.052205,11,1909.759609
631.268991,3,1910.538284
229.0,1,1910.91571
621.374756,10,1911.960728
533.651054,81,1915.548936
593.21417,39,1917.791249
561.824915,53,1920.405978
632.71589,2,1921.155952
631.911759,3,1921.935226
628.389043,4,1922.803286
210.610108,15,1923.699715
625.307149,8,1924.685358
620.295729,13,1925.803298
623.570773,8,1926.829355
595.600281,31,1928.74875
619.453897,12,1929.963064
618.799985,14,1931.165574
346.086708,13,1932.229735
613.338826,17,1933.566481
605.942574,25,1935.120152
594.0053,33,1937.013124
663.041258,3,1937.783251
198.650275,25,1939.009723
657.839243,4,1939.826765
619.06622,14,1941.03138
224.214628,5,1941.5817
324.093785,1,1942.252541
601.412235,25,1943.796853
618.210228,12,1944.954911
632.648198,2,1945.697856
629.377691,9,1946.699266
658.932832,5,1947.510725
635.742675,4,1948.303583
614.149806,21,1949.729047
652.88768,10,1950.710266
644.53527,18,1952.031922
610.397717,23,1953.634251
607.651671,21,1955.140882
627.046785,4,1955.97827
556.44478,61,1958.806643
634.17464,1,1959.553435
616.76109,13,1960.70918
355.905105,1,1961.375936
577.224642,38,1963.450794
626.073391,7,1964.380865
620.814124,11,1965.445396
621.554089,11,1966.517662
631.732334,7,1967.477489
632.171276,2,1968.216978
610.319692,19,1969.663544
633.312279,3,1970.473561
586.92946,35,1972.431872
588.893304,38,1974.461777
630.015846,4,1975.390906
610.454343,22,1976.874937
631.838561,3,1977.715153
647.239725,16,1978.985093
409.445035,5,1979.951953
615.853347,15,1981.191205
631.074318,3,1981.954099
623.497534,8,1983.000779
635.120952,1,1983.751575
